,content
31,"['season', 'ale', 'increase', 'adieu', 'trust', 'pamperd', 'trembleth', 'catch', 'enough', 'mouth', 'bliss', 'hands', 'gall', 'face', 'since', 'changes', 'thing', 'thus', 'low', 'perfect', 'news', 'ever', 'though', 'bread', 'breath', 'shining', 'yfeer', 'thou', 'oft', 'appetites', 'whose', 'still', 'health', 'heavenly', 'makes', 'fillst', 'dames', 'suffice', 'seen', 'doth', 'fear', 'cloyest', 'eyes', 'cannot', 'brown', 'always', 'bitter', 'fair', 'seldom', 'inflame', 'men', 'sweet', 'beautys', 'lively', 'swelt', 'clomb', 'fie', 'frank', 'wise', 'ensues', 'sugard', 'crammed', 'truemy', 'smells', 'mens', 'pleasure', 'stretch', 'fowl', 'joy', 'lady', 'thy', 'holds', 'good', 'seek', 'hall', 'horse', 'courteous', 'dread', 'feed', 'erst', 'dare', 'sky', 'eat', 'oftimes', 'night', 'manger', 'starve', 'death', 'lo', 'hath', 'fading', 'rob', 'might', 'drink', 'like', 'hottest', 'much', 'brave', 'call', 'knifeto', 'homely', 'colds', 'fall', 'lead', 'draught', 'laughs', 'pangs', 'bait', 'quickly', 'bundle', 'flowergrows', 'sweetmeats', 'grace', 'hap', 'dream', 'bloodwith', 'reachd', 'deem', 'else', 'minds', 'fresh', 'wallow', 'touch', 'haps', 'love', 'full', 'delight', 'fill', 'humours', 'although', 'sour', 'overmuch', 'day', 'bowerbetween', 'cut', 'ladys', 'muse', 'lifethat', 'taste', 'high', 'yet', 'bid', 'reason', 'scawled', 'melt', 'twist', 'mind', 'comes', 'thread', 'sometimes', 'well', 'built']"
32,"['greenwood', 'lady', 'doth', 'blow', 'adieu', 'mine', 'green', 'groweth', 'unto', 'flowers', 'greenwith', 'greenand', 'cannot', 'alonewhen', 'blasts', 'true', 'ladypromise', 'changeth', 'winter', 'betake', 'trulybe', 'holly', 'hath', 'heart', 'leaves', 'hue', 'specialwho', 'never', 'ever', 'though', 'ivy', 'sure', 'high', 'onlyto', 'gone', 'seenand', 'shall', 'make']"
33,"['befall', 'falcon', 'dead', 'birds', 'light', 'away', 'fair', 'else', 'adversity', 'lo', 'ye', 'sometime', 'friends', 'liberty', 'lice', 'might', 'lucks', 'like', 'bodies', 'liked', 'crawl', 'pleasant', 'company', 'swear', 'fellows', 'forsake', 'proof', 'well', 'bells']"
34,"['roses', 'means', 'pretty', 'folly', 'complains', 'wanton', 'soon', 'forgotten', 'breed', 'rotten', 'delights', 'thee', 'pleasures', 'gall', 'straw', 'beds', 'reckoning', 'becometh', 'fold', 'break', 'wither', 'honey', 'still', 'fancys', 'sorrows', 'moveto', 'field', 'cares', 'kirtle', 'truth', 'flowers', 'rage', 'youth', 'buds', 'time', 'winter', 'heart', 'fields', 'move', 'spring', 'flocks', 'joys', 'come', 'drives', 'wayward', 'cold', 'thy', 'every', 'ripe', 'age', 'need', 'world', 'might', 'coral', 'yields', 'ivy', 'rivers', 'shoes', 'cap', 'philomel', 'fall', 'grow', 'gowns', 'clasps', 'tongue', 'amber', 'live', 'belt', 'young', 'last', 'shepherds', 'could', 'love', 'fade', 'rest', 'dumb', 'posiessoon', 'rocks', 'reason', 'studs', 'mind', 'date']"
35,"['makes', 'double', 'belly', 'change', 'went', 'striving', 'thoroughfare', 'night', 'tasteth', 'twice', 'delight', 'gluttony', 'thus', 'day', 'meat', 'lust', 'gut', 'lechers', 'eats', 'sin', 'comes', 'vice']"
36,"['makes', 'lives', 'moves', 'among', 'moists', 'doth', 'chariot', 'virtue', 'wherewith', 'beauty', 'gives', 'change', 'spheres', 'guide', 'mistress', 'image', 'heaven', 'wears', 'orb', 'circes', 'cast', 'light', 'know', 'worth', 'fair', 'beams', 'nymphs', 'true', 'honour', 'dianas', 'night', 'dwell', 'placd', 'powers', 'time', 'knowledge', 'decks', 'slide', 'aye', 'floods', 'woods', 'dews', 'things', 'shine', 'perfect', 'force', 'eternity', 'like', 'virtues', 'knights', 'power', 'endure', 'stars', 'ground', 'abound', 'oft', 'bears', 'think', 'harmless', 'pure', 'let', 'queen', 'mortality', 'praisd', 'diana', 'glory']"
37,"['unlocked', 'geese', 'farewell', 'close', 'mine', 'shore', 'swans', 'eyes', 'last', 'fools', 'death', 'living', 'oh', 'thus', 'note', 'wise', 'first', 'throat', 'silver', 'swan', 'joys', 'leaning', 'come', 'approached', 'breast', 'reedy', 'silent', 'sung', 'live']"
38,"['mere', 'folly', 'thy', 'seen', 'friendship', 'blow', 'green', 'unto', 'waters', 'life', 'freeze', 'sting', 'friend', 'feigning', 'sky', 'bitter', 'remembered', 'bite', 'nighas', 'art', 'wind', 'keen', 'forgot', 'loving', 'winter', 'benefits', 'jolly', 'holly', 'warp', 'although', 'heigh', 'tooth', 'sharpas', 'though', 'breath', 'rude', 'unkindas', 'mans', 'thou', 'dost', 'sing', 'ingratitude', 'ho']"
39,"['mocks', 'hang', 'brooding', 'oaten', 'pail', 'wall', 'nippd', 'tread', 'aloud', 'blueand', 'unpleasing', 'shepherd', 'hiss', 'milk', 'pot', 'thus', 'keel', 'logs', 'home', 'bears', 'bowl', 'merry', 'married', 'doth', 'fear', 'greasy', 'nail', 'saw', 'men', 'wind', 'buds', 'sit', 'dick', 'meadows', 'blood', 'straws', 'staring', 'note', 'tom', 'daisies', 'turtles', 'parsons', 'whiteand', 'paint', 'huedo', 'nose', 'lady', 'smocks', 'every', 'blows', 'hall', 'sings', 'daws', 'yellow', 'summer', 'foul', 'ploughmens', 'frozen', 'looks', 'bleach', 'rooks', 'whit', 'drowns', 'joan', 'word', 'tu', 'maidens', 'pipe', 'blow', 'pied', 'birds', 'icicles', 'owl', 'marians', 'roasted', 'shepherds', 'nightly', 'red', 'crabs', 'delight', 'violets', 'ear', 'ways', 'tree', 'cuckoo', 'silver', 'raw', 'coughing', 'snow', 'clocks', 'comes', 'larks']"
40,"['heads', 'thrive', 'hey', 'toy', 'every', 'swaggering', 'unto', 'toss', 'well', 'please', 'thieves', 'great', 'strive', 'gainst', 'could', 'men', 'wind', 'play', 'beds', 'gate', 'thats', 'thing', 'alas', 'little', 'rain', 'came', 'day', 'world', 'never', 'begun', 'estate', 'drunken', 'one', 'done', 'shut', 'tiny', 'mans', 'knaves', 'pots', 'boy', 'foolish', 'ago', 'still', 'raineth', 'wive', 'ho']"
41,"['foe', 'churl', 'pity', 'glutton', 'heir', 'lies', 'tender', 'thy', 'increase', 'die', 'gaudy', 'fairest', 'famine', 'abundance', 'bud', 'eyes', 'self', 'creatures', 'herald', 'within', 'niggarding', 'fuel', 'else', 'eat', 'fresh', 'art', 'thee', 'sweet', 'thine', 'time', 'content', 'riper', 'beautys', 'cruel', 'rose', 'substantial', 'world', 'thereby', 'might', 'never', 'decease', 'thyself', 'though', 'memory', 'worlds', 'spring', 'feedst', 'thou', 'desire', 'lights', 'grave', 'contracted', 'flame', 'making', 'waste', 'bright', 'due', 'makst', 'bear', 'ornamentand', 'buriest']"
42,"['rough', 'complexion', 'changing', 'declines', 'owst', 'lives', 'shade', 'short', 'thy', 'every', 'breathe', 'course', 'gives', 'life', 'growst', 'darling', 'chance', 'heaven', 'may', 'eyes', 'lose', 'summer', 'natures', 'lovely', 'fair', 'temperate', 'eternal', 'long', 'thee', 'art', 'dimmd', 'men', 'see', 'buds', 'time', 'death', 'lease', 'hath', 'sometime', 'shines', 'wanderst', 'day', 'hot', 'gold', 'fade', 'lines', 'untrimmd', 'eye', 'compare', 'thou', 'often', 'possession', 'shake', 'brag', 'winds', 'date', 'shall', 'summers']"
43,"['maids', 'pretty', 'jug', 'gay', 'cold', 'feet', 'hear', 'every', 'pipe', 'doth', 'breathe', 'young', 'lay', 'kiss', 'birds', 'sting', 'may', 'blooms', 'witta', 'shepherds', 'pu', 'ears', 'years', 'greet', 'sweet', 'play', 'sit', 'tunes', 'woo', 'lambs', 'thing', 'aye', 'street', 'make', 'sunning', 'country', 'day', 'dance', 'king', 'palm', 'houses', 'fields', 'daisies', 'cuckoo', 'lovers', 'meet', 'old', 'spring', 'frisk', 'pleasant', 'sing', 'wives', 'merry', 'tune', 'ring']"
44,"['say', 'made', 'grew', 'take', 'woe', 'venus', 'young', 'scorn', 'change', 'seek', 'son', 'mistress', 'neither', 'eyes', 'fair', 'soon', 'sought', 'answered', 'show', 'could', 'night', 'victorious', 'therefore', 'prouder', 'sighing', 'graced', 'favor', 'dainty', 'repent', 'day', 'proud', 'dame', 'spake', 'rest', 'breastthat', 'importune', 'pluck', 'saying', 'coy', 'plumes', 'skill', 'wherefore', 'pine', 'boy', 'go', 'said', 'many', 'hearts', 'weeping', 'still', 'shall']"
45,"['deformed', 'yet', 'suspicious', 'bleared', 'part', 'beas', 'ugly', 'kind', 'leg', 'inward', 'mind', 'eye', 'half', 'crooked']"
46,"['admiration', 'womens', 'ask', 'angels', 'lovely', 'overfraught', 'shapeless', 'thee', 'see', 'flesh', 'face', 'since', 'sink', 'parent', 'thus', 'ever', 'eye', 'thou', 'body', 'oft', 'disparityas', 'whose', 'sphere', 'still', 'gone', 'nowthat', 'lovd', 'limbs', 'doth', 'worshippd', 'saw', 'thought', 'scattring', 'whilst', 'soul', 'wear', 'pinnace', 'sought', 'hair', 'purity', 'twice', 'subtle', 'assume', 'came', 'ballast', 'wert', 'lip', 'mens', 'wingsof', 'knew', 'flameangels', 'take', 'thy', 'evry', 'allow', 'us', 'nothing', 'wares', 'uponis', 'inhere', 'affect', 'angel', 'would', 'much', 'air', 'fix', 'voice', 'fitter', 'bright', 'steadily', 'name', 'loves', 'child', 'must', 'may', 'islove', 'else', 'could', 'takes', 'therefore', 'love', 'brow', 'glorious', 'thingsextreme', 'thrice', 'work', 'bid', 'yet', 'twixt', 'pure']"
47,"['tries', 'case', 'lovd', 'thy', 'tell', 'doth', 'even', 'scorn', 'feel', 'may', 'sad', 'climbst', 'skies', 'wan', 'acquainted', 'wit', 'ungratefulness', 'long', 'silently', 'want', 'yetthose', 'read', 'graceto', 'face', 'busy', 'moon', 'archer', 'fellowship', 'love', 'beauties', 'looks', 'heavnly', 'proud', 'possess', 'like', 'arrows', 'sure', 'lovers', 'evn', 'call', 'thou', 'state', 'placethat', 'judge', 'descries', 'languishd', 'feelst', 'sharp', 'constant', 'deemd', 'virtue', 'eyescan', 'steps']"
48,"['lustre', 'made', 'best', 'deaths', 'wrapt', 'mourning', 'doth', 'even', 'painter', 'sober', 'black', 'eyes', 'nature', 'light', 'frame', 'beamy', 'seems', 'chief', 'beams', 'bleed', 'else', 'beplacd', 'honour', 'show', 'stellas', 'contrary', 'beauties', 'colour', 'love', 'gave', 'sight', 'miraculous', 'beautys', 'delight', 'make', 'thus', 'veil', 'would', 'wise', 'shades', 'hue', 'lest', 'mixd', 'like', 'dazzle', 'ever', 'brave', 'work', 'knit', 'daintiest', 'power', 'strength', 'weedto', 'disguise', 'bright', 'flow', 'sunlike', 'minding', 'devise', 'object', 'gleams', 'whereas']"
49,"['hooks', 'sands', 'golden', 'begging', 'freeze', 'bewitch', 'stay', 'catch', 'thee', 'pleasures', 'shells', 'see', 'sun', 'windowy', 'hands', 'thine', 'far', 'runwarmd', 'thereby', 'thou', 'wilt', 'curious', 'treacherously', 'seen', 'enamourd', 'silk', 'bedded', 'eyes', 'snare', 'brooks', 'river', 'wrest', 'thyself', 'traitors', 'amorously', 'deceit', 'come', 'darknest', 'let', 'best', 'wiser', 'thy', 'every', 'sleeve', 'catchd', 'light', 'swim', 'slimy', 'art', 'moon', 'betray', 'strangling', 'reeds', 'hath', 'crystal', 'needst', 'bath', 'need', 'lines', 'leave', 'fishes', 'bait', 'net', 'whispering', 'live', 'nestthe', 'others', 'gladder', 'coarse', 'wandring', 'poor', 'may', 'weeds', 'new', 'legs', 'beset', 'love', 'alas', 'angling', 'bold', 'cut', 'silver', 'loth', 'channel', 'banks', 'proveof', 'silken', 'flies', 'fish']"
50,"['fird', 'miracle', 'ovens', 'chips', 'die', 'afflicts', 'sinewd', 'bed', 'life', 'dead', 'whether', 'glass', 'feel', 'place', 'coward', 'steadyas', 'th', 'soon', 'painof', 'rotten', 'sea', 'honour', 'wretches', 'ants', 'see', 'loving', 'end', 'morea', 'far', 'save', 'thus', 'shines', 'frippery', 'friends', 'lieseach', 'slack', 'towards', 'church', 'seamens', 'meet', 'scoff', 'storms', 'despite', 'prays', 'worlds', 'power', 'one', 'sacrifice', 'invade', 'jaws', 'prey', 'upper', 'still', 'block', 'storm', 'lovd', 'samson', 'doth', 'gallies', 'smooth', 'weseek', 'ships', 'chance', 'lungs', 'wasnothing', 'hatches', 'wear', 'rage', 'fair', 'fate', 'thirstof', 'yesterday', 'sought', 'great', 'chafe', 'hair', 'pitch', 'wind', 'snake', 'earths', 'lie', 'myriadof', 'fighting', 'meteor', 'spout', 'trim', 'pinnaces', 'past', 'stag', 'hope', 'move', 'encagd', 'durst', 'wish', 'fable', 'walkers', 'suage', 'vault', 'tyrannous', 'laya', 'pushd', 'state', 'cold', 'isles', 'thy', 'scourge', 'stupid', 'layfeathers', 'man', 'forget', 'lose', 'rooted', 'foes', 'hathno', 'us', 'gaols', 'nothing', 'plays', 'swim', 'coals', 'desperate', 'gainst', 'pray', 'death', 'hover', 'paid', 'parboild', 'lost', 'subtly', 'bath', 'calenture', 'stork', 'beg', 'little', 'sense', 'might', 'rags', 'like', 'emperors', 'first', 'brave', 'air', 'gain', 'dog', 'grudges', 'courts', 'lanthorns', 'decays', 'lead', 'altars', 'calm', 'laughs', 'fishes', 'live', 'becomes', 'multiply', 'use', 'fit', 'refreshing', 'beauty', 'mistress', 'crawling', 'heaven', 'may', 'dies', 'runs', 'wellunder', 'rid', 'shepherds', 'poles', 'heat', 'water', 'thoughts', 'languish', 'tackling', 'priest', 'calms', 'recover', 'queasy', 'alas', 'supply', 'misery', 'day', 'hot', 'brimstone', 'belovd', 'disuse', 'together', 'hell', 'ship', 'disproportion', 'bajazet', 'turn', 'hollownesses', 'finny', 'ended', 'burn', 'dust', 'inverted', 'flies', 'well', 'removing', 'drawsdear']"
51,"['two', 'means', 'unperplex', 'single', 'lay', 'change', 'bed', 'works', 'interinanimates', 'th', 'long', 'fast', 'see', 'hands', 'prison', 'meant', 'far', 'sex', 'negotiate', 'thus', 'things', 'advance', 'anothers', 'mixd', 'spake', 'sat', 'though', 'weak', 'eye', 'reveald', 'statues', 'ecstasy', 'armies', 'one', 'strength', 'invade', 'thence', 'body', 'toour', 'said', 'heavens', 'flow', 'still', 'gone', 'dross', 'concoction', 'bank', 'makes', 'made', 'double', 'hung', 'tell', 'doth', 'imprints', 'controls', 'convenient', 'saw', 'prince', 'eyes', 'whilst', 'soul', 'fate', 'beams', 'string', 'within', 'transplant', 'yielded', 'souls', 'redoubles', 'great', 'dialogue', 'men', 'mixture', 'affections', 'convey', 'subtle', 'scant', 'oh', 'pictures', 'postures', 'uncertain', 'victory', 'make', 'blood', 'came', 'move', 'lover', 'lovers', 'spring', 'reach', 'fingers', 'language', 'tointergraft', 'beget', 'restthe', 'let', 'shall', 'state', 'best', 'grown', 'knew', 'take', 'sepulchral', 'good', 'violet', 'thanks', 'upon', 'man', 'loneliness', 'us', 'forbear', 'nothing', 'reclining', 'another', 'multiplies', 'purer', 'look', 'small', 'colour', 'spirits', 'faculties', 'composd', 'defects', 'repair', 'need', 'sense', 'suspends', 'firmly', 'might', 'like', 'first', 'labors', 'bodies', 'air', 'distance', 'knit', 'senses', 'twisted', 'understood', 'mix', 'allay', 'grow', 'balm', 'abler', 'refind', 'swelld', 'cemented', 'lies', 'loves', 'weare', 'apprehend', 'spheres', 'poor', 'may', 'size', 'knot', 'must', 'heard', 'know', 'head', 'pillow', 'part', 'else', 'descend', 'new', 'get', 'love', 'equal', 'mark', 'atomies', 'alas', 'pregnant', 'several', 'day', 'violets', 'force', 'mysteries', 'book', 'influence', 'yet', 'intelligences', 'twixt', 'turn', 'stood', 'mind', 'owe', 'theyare', 'thread', 'contain', 'pure', 'propagation']"
52,"['deaths', 'golden', 'holes', 'june', 'counsel', 'dead', 'affection', 'seasonabliest', 'place', 'stay', 'clime', 'asks', 'till', 'soon', 'true', 'years', 'dwells', 'long', 'words', 'tombs', 'face', 'since', 'living', 'thing', 'panting', 'build', 'things', 'antique', 'slack', 'tooth', 'ever', 'though', 'worn', 'one', 'lank', 'grave', 'trench', 'oft', 'go', 'whose', 'shes', 'still', 'gone', 'fifty', 'evrywhere', 'heres', 'large', 'heads', 'made', 'lovd', 'shade', 'seen', 'doth', 'unthrifts', 'decay', 'eyes', 'cannot', 'nature', 'dig', 'wear', 'autumnal', 'fair', 'revels', 'youth', 'timber', 'lydian', 'platan', 'sought', 'souls', 'compassing', 'vowd', 'within', 'appetite', 'skins', 'sack', 'time', 'sit', 'hearers', 'winter', 'faces', 'tolerable', 'blood', 'hence', 'tropic', 'house', 'pestilence', 'underwood', 'gold', 'past', 'ages', 'torrid', 'spring', 'sojourn', 'come', 'loveliest', 'shall', 'glory', 'cradles', 'progress', 'bless', 'strange', 'every', 'hill', 'reverences', 'growing', 'unto', 'barrenness', 'seek', 'mouths', 'transitory', 'summer', 'light', 'none', 'journey', 'ebb', 'anachorit', 'night', 'scape', 'death', 'thats', 'age', 'hath', 'homeward', 'evening', 'first', 'like', 'call', 'vex', 'natural', 'tomb', 'purse', 'wishes', 'graves', 'standing', 'resurrection', 'name', 'lies', 'grace', 'loves', 'fit', 'young', 'beauty', 'may', 'must', 'noon', 'heat', 'else', 'inflaming', 'takes', 'descend', 'beauties', 'new', 'twere', 'love', 'xerxes', 'rape', 'delight', 'hate', 'fever', 'wine', 'several', 'force', 'day', 'rather', 'voluptuousness', 'lation', 'latest', 'tree', 'taste', 'yet', 'shame', 'wrinkles', 'ancient', 'comes', 'enrages', 'council', 'tried', 'extremes']"
53,"['tastes', 'disusd', 'scatterd', 'dead', 'seems', 'dwells', 'thee', 'see', 'sun', 'face', 'judging', 'milk', 'tough', 'skin', 'storms', 'though', 'morewhen', 'thou', 'bones', 'headwith', 'weather', 'less', 'rash', 'lovd', 'bodya', 'cares', 'childish', 'stains', 'doth', 'decay', 'enoughto', 'soul', 'worth', 'fair', 'beams', 'shadows', 'within', 'powders', 'sack', 'oh', 'heart', 'handperhaps', 'rude', 'oerspread', 'tax', 'reach', 'come', 'strong', 'shall', 'say', 'picture', 'grown', 'tis', 'take', 'farewellthine', 'feed', 'foul', 'shalt', 'twill', 'fools', 'haircloth', 'seem', 'rival', 'beaten', 'like', 'nurse', 'breast', 'delicate', 'loves', 'coarse', 'heshould', 'may', 'statedid', 'manso', 'oars', 'torn', 'tohave', 'dwell', 'sudden', 'love', 'tannd', 'blue', 'broken', 'bid', 'back', 'mind', 'hurts', 'twas']"
54,"['foe', 'made', 'haste', 'thy', 'grace', 'doth', 'mine', 'decay', 'sustain', 'theeby', 'may', 'eyes', 'hour', 'dare', 'feebled', 'rise', 'yesterday', 'art', 'fast', 'pleasures', 'flesh', 'castsuch', 'look', 'death', 'subtle', 'end', 'adamant', 'meets', 'behind', 'heart', 'repair', 'despair', 'towards', 'draw', 'iron', 'hast', 'like', 'move', 'way', 'old', 'work', 'prevent', 'leave', 'one', 'hell', 'thou', 'terror', 'wing', 'run', 'weigh', 'sin', 'tempteth', 'wasteby', 'shall', 'dim']"
55,"['die', 'dwelt', 'physicians', 'sweat', 'mine', 'bed', 'whether', 'place', 'sea', 'anyan', 'see', 'face', 'since', 'discovery', 'throws', 'though', 'flat', 'home', 'one', 'japhet', 'room', 'cross', 'made', 'doth', 'return', 'whilst', 'soul', 'riches', 'maps', 'souls', 'calvary', 'per', 'surrounds', 'embrace', 'blood', 'cham', 'west', 'christs', 'wrappd', 'find', 'come', 'magellan', 'lord', 'shall', 'map', 'grown', 'joy', 'straits', 'thy', 'met', 'crown', 'receive', 'eastern', 'none', 'evermore', 'instrument', 'shown', 'currents', 'door', 'holy', 'look', 'death', 'hurt', 'coming', 'east', 'febris', 'first', 'yield', 'purple', 'adams', 'think', 'choir', 'word', 'preachd', 'resurrection', 'cosmographers', 'others', 'jerusalem', 'give', 'may', 'must', 'last', 'raise', 'touch', 'therefore', 'love', 'fretum', 'ways', 'text', 'paradise', 'tree', 'sermon', 'saints', 'music', 'gibraltar', 'thorns', 'stood', 'shem', 'south', 'tune', 'lieflat', 'pacific']"
56,"['trusty', 'case', 'remain', 'seas', 'steereth', 'every', 'doth', 'mine', 'sail', 'nights', 'weared', 'ignorance', 'led', 'passtween', 'thought', 'readiness', 'tear', 'light', 'dark', 'fearfulness', 'great', 'endless', 'drowned', 'disdain', 'rock', 'wind', 'cords', 'cloud', 'error', 'comfort', 'death', 'winter', 'charged', 'forgetfulness', 'forced', 'hath', 'alas', 'rain', 'apaceof', 'owre', 'cruelness', 'port', 'though', 'hinderance', 'thorough', 'sighs', 'tears', 'done', 'despairing', 'stars', 'reason', 'hid', 'pain', 'enmy', 'wreathed', 'lord', 'sharp', 'galley', 'eke']"
57,"['wealthwith', 'scarce', 'noise', 'mad', 'bean', 'richmans', 'bed', 'guide', 'softly', 'clasp', 'sea', 'across', 'thee', 'see', 'trip', 'furrows', 'sorefeard', 'henceforth', 'thing', 'scrapeth', 'hay', 'mouse', 'never', 'meat', 'ever', 'grant', 'madto', 'cost', 'go', 'skip', 'storm', 'drank', 'continue', 'field', 'arms', 'restfor', 'rood', 'nature', 'trow', 'wished', 'men', 'time', 'tellthe', 'eyesin', 'lie', 'loud', 'beast', 'traitor', 'house', 'thyself', 'gold', 'hope', 'fain', 'took', 'boiled', 'fare', 'hip', 'come', 'maketh', 'ears', 'defileher', 'keep', 'thy', 'hare', 'steaming', 'crave', 'none', 'blasts', 'fled', 'journey', 'dearthe', 'door', 'lo', 'tho', 'goodly', 'would', 'spied', 'spin', 'lead', 'sitting', 'knife', 'live', 'foe', 'remain', 'knottedwith', 'assigned', 'peril', 'must', 'may', 'last', 'mothers', 'remainto', 'else', 'wealth', 'content', 'full', 'delight', 'hooped', 'bought', 'high', 'pain', 'seeks', 'peep', 'vice', 'set', 'make', 'two', 'dryin', 'grapedoth', 'peace', 'brambles', 'mis', 'forgotten', 'ere', 'travail', 'fast', 'ne', 'inward', 'thine', 'living', 'sight', 'undone', 'caught', 'home', 'feard', 'store', 'warm', 'speakest', 'gape', 'hard', 'anon', 'doth', 'beguile', 'chance', 'waygoeth', 'spotted', 'fret', 'affects', 'sorry', 'liquor', 'dight', 'hence', 'appear', 'durst', 'find', 'repulse', 'language', 'findthe', 'let', 'lord', 'shall', 'jape', 'lady', 'grapes', 'seek', 'nightin', 'upon', 'aghast', 'evermore', 'fools', 'seeking', 'maygrant', 'cave', 'appease', 'foot', 'much', 'plight', 'list', 'disease', 'bright', 'conies', 'virtue', 'net', 'lieth', 'use', 'belly', 'endured', 'care', 'pass', 'cater', 'feasted', 'could', 'sang', 'bare', 'cat', 'roast', 'day', 'seeming', 'mind', 'loss', 'doom', 'sousethat', 'maids', 'silly', 'francewas', 'reign', 'th', 'worse', 'charge', 'stroyed', 'wherein', 'quod', 'thin', 'threshold', 'strife', 'quiet', 'goeth', 'allotted', 'worst', 'irketh', 'health', 'dirt', 'made', 'song', 'surety', 'stranger', 'deep', 'thought', 'cannot', 'lusts', 'away', 'rage', 'ye', 'townish', 'sometime', 'hand', 'round', 'stray', 'dwelleth', 'taught', 'clear', 'stormy', 'barley', 'take', 'joy', 'every', 'sisters', 'cry', 'good', 'dread', 'guiseto', 'shalt', 'drag', 'small', 'sergeant', 'delicates', 'might', 'sword', 'lust', 'rivers', 'richly', 'hunger', 'spareth', 'laboureth', 'eke', 'hawbert', 'neither', 'poor', 'wonders', 'know', 'land', 'amids', 'recover', 'although', 'wine', 'instead', 'bestand', 'yet', 'glean', 'shift', 'breres', 'well', 'god', 'stealth', 'asked', 'life', 'feel', 'sore', 'till', 'long', 'mayst', 'kind', 'blind', 'meet', 'thereof', 'thou', 'askance', 'opprest', 'wretched', 'desireye', 'backward', 'follow', 'corn', 'shape', 'flood', 'tender', 'seen', 'cheered', 'fear', 'even', 'towny', 'whilst', 'laboured', 'whither', 'fair', 'sought', 'great', 'swell', 'error', 'fell', 'heart', 'badto', 'cheer', 'livelood', 'right', 'mile', 'barefrom', 'sharp', 'trusting', 'unwisehad', 'cold', 'mosther', 'stool', 'clean', 'forth', 'sew', 'please', 'wet', 'welcome', 'pray', 'look', 'nought', 'losing', 'hath', 'bacon', 'mace', 'rain', 'glad', 'foodsleep', 'mightto', 'sister', 'marvail', 'wretch', 'straight', 'heaven', 'befell', 'head', 'wit', 'part', 'minds', 'comfort', 'looking', 'alas', 'needs', 'war', 'fade', 'hast', 'feedeth', 'swimmed', 'present', 'poynz', 'harvest', 'plain', 'purpose']"
58,"['golden', 'northern', 'glimmering', 'scarce', 'parchd', 'sins', 'lucys', 'bed', 'trust', 'devour', 'anger', 'dead', 'angels', 'times', 'fires', 'enough', 'toanother', 'calld', 'theelet', 'sergeants', 'th', 'rotten', 'congratulate', 'thee', 'uponthat', 'thine', 'figure', 'youthful', 'brings', 'sight', 'thing', 'far', 'thus', 'exalted', 'employd', 'alacrity', 'friends', 'low', 'towards', 'slack', 'church', 'way', 'though', 'old', 'sat', 'violence', 'eye', 'breath', 'innocence', 'fellow', 'satans', 'one', 'thou', 'room', 'god', 'thence', 'cover', 'lethargic', 'body', 'person', 'whose', 'stayd', 'go', 'worst', 'control', 'insensibly', 'gone', 'better', 'concernd', 'made', 'upward', 'labouring', 'precious', 'doth', 'ageshould', 'bedivision', 'star', 'score', 'harmony', 'prince', 'thought', 'rots', 'eyes', 'pole', 'enspherdstar', 'soul', 'outward', 'worth', 'thrust', 'truths', 'theyweep', 'unfitto', 'clothes', 'men', 'desiresby', 'bury', 'ihe', 'taper', 'bred', 'groom', 'blood', 'thatwhich', 'carcass', 'round', 'statewe', 'adherd', 'thyself', 'knowest', 'loose', 'ritelays', 'thinks', 'immaculate', 'worms', 'weeping', 'state', 'itthy', 'best', 'study', 'take', 'whater', 'thy', 'close', 'notes', 'unto', 'forthis', 'whence', 'stupid', 'pride', 'man', 'forget', 'business', 'shroud', 'light', 'dare', 'form', 'slackness', 'art', 'shouldst', 'try', 'night', 'believe', 'look', 'nought', 'spiest', 'indifferent', 'death', 'sleep', 'thats', 'laid', 'physic', 'fragmentary', 'reinvest', 'little', 'pack', 'world', 'honours', 'complain', 'carcasss', 'first', 'happiest', 'much', 'lust', 'confess', 'createworms', 'courts', 'isthou', 'religious', 'happy', 'hid', 'grow', 'think', 'fevers', 'nearer', 'stage', 'amiss', 'virtue', 'bells', 'lament', 'live', 'consider', 'resurrection', 'chide', 'calling', 'saint', 'fit', 'didsome', 'give', 'unbinding', 'hearkning', 'poor', 'heaven', 'calls', 'lack', 'knell', 'last', 'cast', 'worm', 'thoughts', 'could', 'gave', 'approaches', 'full', 'soft', 'fedby', 'hearst', 'broken', 'paradise', 'memory', 'rubbish', 'white', 'thencethey', 'triumphant', 'yet', 'mans', 'wash', 'legacies', 'princes', 'ague', 'ago', 'story', 'err', 'year', 'south', 'tried', 'make']"
