author,content,poem name,age,type
william shakespeare,substance whereof made millions strange shadows tend since every one hath every one one shade one every shadow lend describe adonis counterfeitis poorly imitated helens cheek art beauty set grecian tires painted new speak spring foison year one doth shadow beauty show bounty doth appear every blessed shape know external grace part like none none constant heart,"Sonnet 53: What is your substance, whereof are you made",Renaissance,Mythology & Folklore
william shakespeare,didst thou promise beauteous day make travel forth without cloak let base clouds oertake way hiding thy bravery rotten smoke tis enough cloud thou break dry rain storm beaten face man well salve speakthat heals wound cures disgrace thy shame give physic grief though thou repent yet still loss offenders sorrow lends weak reliefto bears strong offences cross ah tears pearl thy love sheds rich ransom ill deeds,Sonnet 34: Why didst thou promise such a beauteous day,Renaissance,Nature
thomas bastard,welcome sun sea freake returned cheereth beams naked earth gains coming appareland absence six long months mourned fragrant sides sends greet himthe rashed primrose violet fields meadows doth besetwith flowers hangs trees pearl meet amid hope joy doth forget kill hemlock doth grow fast chill adder making much haste black sons revived heat till summer comes diverse colours clad much like epigrams good bad,"Book 1, Epigram 34: Ad. Thomam Freake armig. de veris adventu.  ",Renaissance,Nature
thomas bastard,met courtier riding plain well mounted brave gallant steed sat upon jade spurred painmy lazy beast whose tired sides bleed saw case courtesydid rein horse drew bridle desire company corvetting way win besteaded horse stood still faster mine could go,"Book 2, Epigram 22",Renaissance,Nature
thomas bastard,walking fields wantcatcher spied went desirous game sir taken wants yes replied dozen lately taen left quoth sir show worse work went twould wants crept purse farewell friend wantcatcher since twill thou cannot catch wants catch,"Book 2, Epigram 8",Renaissance,Nature
thomas bastard,fishing fisher may protest pleasures sweetest sports best exercises excellent recreations innocent sport marred ye fishes decrease fishers multiply,"Book 6, Epigram 14: De Piscatione.",Renaissance,Nature
lady mary wroth,come darkest night becoming sorrow best light leave thy light fitt lightsome soule darknes doth truly sure mee oprestwhom absence power doth mirthe controle trees hanging heads condolesweet sommers parting leaves distrestin dying coulers make griefe full role soe much alas sorrow prest thus dead leaves farewell carpetts made theyr fall theyr branches theyr mournings prove leavles naked bodies whose huese vadefrom hopefull greene wither theyr love trees leaves absence mourners beenoe mervaile grieve like want see,from Pamphilia to Amphilanthus: 19,Renaissance,Nature
edmund spenser,januarie gloga prima argvment fyrst glogue colin clout shepheardes boy complaineth vnfortunate loue newly semeth enamoured countrie lasse called rosalinde strong affection sore traueled compareth carefull case sadde season yeare frostie ground frosen trees owne winterbeaten flocke lastlye fynding himselfe robbed former pleasaunce delights hee breaketh pipe peeces casteth selfe ground colin cloute shepeheards boye better doe call winters wastful spight almost spent sunneshine day befall led forth flock long ypent faynt woxe feeble folde vnnethes feete could vphold sheepe shepeheards looke pale wanne alas may seeme lovd els care tooke well couth tune pipe frame stile tho hill faynting flocke ledde thus playnd shepe fedde ye gods loue pitie louers payne gods paine louers pitie looke aboue ioyes remaine bowe eares vnto doleful dittie pan thou shepheards god didst loue pitie paines thou thy selfe didst proue thou barrein ground whome winters wrath hath wasted art made myrrhour behold plight whilome thy fresh spring flowrd hastedthy sommer prowde daffadillies dight come thy wynters stormy state thy mantle mard wherein thou mas kedst late rage winters reigneth heart life bloud friesing wtih vnkindly cold stormy stoures breede balefull smarte yeare wast woxen old yet alas spring begonne yet alas yt already donne naked trees whose shady leaves lost wherein byrds wont build bowre clothd mosse hoary frost instede bloosmes wherwith buds flowre see teares boughes doe raine whose drops drery ysicles remaine lustfull leafe drye sere timely buds wayling wasted blossome braunch youth beare breathed sighes blowne away blasted mine eyes drizling teares descend boughes ysicles depend thou feeble flocke whose fleece rough rent whose knees weak fast evill fare mayst witnesse well thy ill gouernement thy maysters mind ouercome care thou weak wanne thou leabe quite forlorne mourning pyne pyning mourne thousand sithes curse carefull hower wherein longd neighbour towne see eke tenne thousand sithes blesse stoure wherein sawe fayre sight shee yet naught snch sight hath bred bane ah god loue breede ioy payne hobbinol wherefore plaine albee loue seeke dayly suit clownish gifts curtsies disdaine kiddes cracknelles early fruit ah foolish hobbinol thy gyfts bene vayne colin gives rosalind againe loue thilke lasse alas doe loue forlorne alas lorne shee deignes good doth reproue rurall musick holdeth scorne shepheards deuise hateth snake laughes songes colin clout doth make wherefore pype albee rude pan thou please yet thou pleasest would thou vnlucky muse wontst easemy musing mynd yet canst thou pype muse shall sore abye broke oaten pype downe dyd lye welked phoebus gan availe weary waine nowe frosty nighther mantle black heauen gan overhaile seene pensife boy halfe despightarose homeward drove sonned sheepe whose hanging heads seeme carefull case weepe,The Shepheardes Calender: January,Renaissance,Nature
william shakespeare,bee sucks suck cowslips bell lie couch owls cry bats back flyafter summer merrily merrily merrily shall live nowunder blossom hangs bough,"Song: Where the bee sucks, there suck I",Renaissance,Nature
john donne,tis true tis day though wilt thou therefore rise rise tis light lie twas night love spite darkness brought us hither despite light keep us together light hath tongue eye could speak well spy worst could say well fain would stay loved heart honour would go must business thee hence remove oh thats worst disease love poor foul false love canadmit busied man hath business makes love doth dosuch wrong married man doth woo,Break of Day,Renaissance,Nature
robert southwell  sj,hoary winters night stood shivering snow surprisd sudden heat made heart glow lifting fearful eye view fire near pretty babe burning bright air appear scorched excessive heat floods tears shedas though floods quench flames tears fed alas quoth newly born fiery heats fry yet none approach warm hearts feel fire faultless breast furnace fuel wounding thorns love fire sighs smoke ashes shame scorns fuel justice layeth mercy blows coals metal furnace wrought mens defiled souls fire work good melt bath wash blood vanishd sight swiftly shrunk away straight called unto mind christmas day,The Burning Babe,Renaissance,Nature
william byrd,care thy soul thing greatest price made end taste power divine devoid guilt abhorring sin vice apt gods grace virtue incline care thy retchless trainit brought taste eternal pain care thy corse chiefly souls sake cut excess sustaining food best vanquish pride comely clothing take seek skill deep ignorance detest care say flesh feed clothethat thou harm thy soul body care world thy body right rack thy wit win thy wicked ways seek oppress weak wrongful might pay thy due banish delays care dispend according thy store like sort mindful poor care thy soul thy chiefest stay care thy body thy souls avail care world bodys help alway care yet virtue may prevail care sort thou sure care keep thee heaven heavenly bliss,Care for Thy Soul as Thing of Greatest Price,Renaissance,Nature
queen elizabeth i,doubt future foes exiles present joy wit warns shun snares threaten mine annoy falsehood doth flow subjects faith doth ebb reason ruled wisdom weaved web clouds joys untried cloak aspiring minds turn rain late repent changed course winds top hope supposed root upreared shall fruitless grafted guile shortly ye shall see dazzled eyes pride great ambition blinds shall unsealed worthy wights whose foresight falsehood finds daughter debate discord aye doth sowshall reap gain former rule still peace hath taught know foreign banished wight shall anchor port realm brooks seditious sects let elsewhere resort rusty sword rest shall first edge employto poll tops seek change gape future joy,The Doubt of Future Foes,Renaissance,Nature
george gascoigne,fie pleasure fie thou cloyest delight thou fillst mouth sweetmeats overmuch wallow still joy day night deem dream taste touch thing smells perfect bliss fie pleasure fie cannot like taste sometimes bait bitter gall drink draught sour ale season eat brown bread homely hands hall doth much increase mens appetites reason makes sweet sugard ensues since minds men still seek news pamperd horse seldom seen breath whose manger makes grace oftimes melt crammed fowl comes quickly death colds catch hottest haps swelt much like pleasure scawled still fear starve although feed fill might suffice love hath built bowerbetween ladys lively shining eyes enough beautys fading flowergrows ever fresh heavenly wise well fair face yet rob dames grace muse mind wise fair good brave frank courteous truemy lady doth inflame bloodwith humours bid health adieu since hap always clomb high doth fall full low though erst reachd sky lo pleasure lo lo thus lead lifethat laughs joy trembleth oft dread thy pangs call changes knifeto cut twist else stretch thread holds yfeer bundle bliss fie pleasure fie dare trust,"Fie, Pleasure, Fie!",Renaissance,Nature
henry viii  king of england,green groweth holly doth ivy though winter blasts blow never high green groweth holly holly groweth greenand never changeth hue ever hath unto lady true holly groweth greenwith ivy alonewhen flowers cannot seenand greenwood leaves gone unto ladypromise make onlyto betake adieu mine lady adieu specialwho hath heart trulybe sure ever shall,Green Groweth the Holly,Renaissance,Nature
sir thomas wyatt,lucks fair falcon fellows well pleasant liberty ye forsake fair might ye befall sometime liked company like lice away dead bodies crawl lo proof light adversity ye birds swear bells ye friends else,"Lucks, My Fair Falcon",Renaissance,Nature
sir walter ralegh,world love young truth every shepherds tongue pretty pleasures might move live thee thy love time drives flocks field fold rivers rage rocks grow cold philomel becometh dumb rest complains cares come flowers fade wanton fields wayward winter reckoning yields honey tongue heart gall fancys spring sorrows fall thy gowns thy shoes thy beds roses thy cap thy kirtle thy posiessoon break soon wither soon forgotten folly ripe reason rotten thy belt straw ivy buds coral clasps amber studs means moveto come thee thy love could youth last love still breed joys date age need delights mind might moveto live thee thy love,The Nymphs Reply to the Shepherd,Renaissance,Nature
en jonson,gut eats day lechers night meat tasteth twice striving double delight makes thoroughfare vice thus belly change sin lust comes gluttony went,On Gut,Renaissance,Nature
orlando gibbons,silver swan living note death approached unlocked silent throat leaning breast reedy shore thus sung first last sung farewell joys oh death come close mine eyes geese swans live fools wise,The Silver Swan,Renaissance,Nature
william shakespeare,blow blow thou winter wind thou art unkindas mans ingratitude thy tooth keen thou art seen although thy breath rude heigh ho sing heigh ho unto green holly friendship feigning loving mere folly heigh ho holly life jolly freeze freeze thou bitter sky dost bite nighas benefits forgot though thou waters warp thy sting sharpas friend remembered heigh ho sing heigh ho unto green holly,"Song: Blow, blow, thou winter wind",Renaissance,Nature
william shakespeare,daisies pied violets blueand lady smocks silver whiteand cuckoo buds yellow huedo paint meadows delight cuckoo every tree mocks married men thus sings cuckoo cuckoo cuckoo word fear unpleasing married ear shepherds pipe oaten straws merry larks ploughmens clocks turtles tread rooks daws maidens bleach summer smocks cuckoo every tree mocks married men thus sings cuckoo cuckoo cuckoo word fear unpleasing married ear icicles hang wall dick shepherd blows nail tom bears logs hall milk comes frozen home pail blood nippd ways foul nightly sings staring owl tu tu whit tu merry note greasy joan doth keel pot aloud wind doth blow coughing drowns parsons saw birds sit brooding snow marians nose looks red raw roasted crabs hiss bowl nightly sings staring owl tu tu whit tu merry note greasy joan doth keel pot,Song: When daisies pied and violets blue ,Renaissance,Nature
william shakespeare,little tiny boy hey ho wind rain foolish thing toy rain raineth every day came mans estate hey ho wind rain gainst knaves thieves men shut gate rain raineth every day came alas wive hey ho wind rain swaggering could never thrive rain raineth every day came unto beds hey ho wind rain toss pots still drunken heads rain raineth every day great ago world begun hey ho wind rain thats one play done well strive please every day,"Song: When that I was and a little tiny boy (With hey, ho, the wind and the rain)",Renaissance,Nature
william shakespeare,fairest creatures desire increase thereby beautys rose might never die riper time decease tender heir might bear memory thou contracted thine bright eyes feedst thy lights flame self substantial fuel making famine abundance lies thyself thy foe thy sweet self cruel though art worlds fresh ornamentand herald gaudy spring within thine bud buriest thy content tender churl makst waste niggarding pity world else glutton eat worlds due grave thee,Sonnet 1: From fairest creatures we desire increase,Renaissance,Nature
william shakespeare,shall compare thee summers day thou art lovely temperate rough winds shake darling buds may summers lease hath short date sometime hot eye heaven shines often gold complexion dimmd every fair fair sometime declines chance natures changing course untrimmd thy eternal summer shall fade lose possession fair thou owst shall death brag thou wanderst shade eternal lines time thou growst long men breathe eyes see long lives gives life thee,Sonnet 18: Shall I compare thee to a summers day?,Renaissance,Nature
thomas nashe,spring sweet spring years pleasant king blooms thing maids dance ring cold doth sting pretty birds sing cuckoo jug jug pu witta woo palm may make country houses gay lambs frisk play shepherds pipe day hear aye birds tune merry lay cuckoo jug jug pu witta woo fields breathe sweet daisies kiss feet young lovers meet old wives sunning sit every street tunes ears greet cuckoo jug jug pu witta woo spring sweet spring,"Spring, the sweet spring",Renaissance,Nature
queen elizabeth i,crooked leg bleared eye part deformed kind yet ugly half beas inward suspicious mind,Written in her French Psalter,Renaissance,Nature
john donne,twice thrice lovd thee knew thy face name voice shapeless flameangels affect us oft worshippd still thou wert came lovely glorious nothing see since soul whose child love takes limbs flesh else could nothing subtle parent islove must take body therefore thou wert bid love ask nowthat assume thy body allow fix thy lip eye brow whilst thus ballast love thought steadily gone wares would sink admiration saw loves pinnace overfraught evry thy hair love work uponis much much fitter must sought nothing thingsextreme scattring bright love inhere angel face wingsof air pure yet pure doth wear thy love may loves sphere disparityas twixt air angels purity twixt womens love mens ever,Air and Angels,Renaissance,Nature
sir philip sidney,sad steps moon thou climbst skies silently wan face may even heavnly placethat busy archer sharp arrows tries sure long love acquainted eyescan judge love thou feelst lovers case read thy looks thy languishd graceto feel like thy state descries evn fellowship moon tell constant love deemd want wit beauties proud love lovd yetthose lovers scorn love doth possess call virtue ungratefulness,"Astrophil and Stella 31: With how sad steps, O Moon, thou climb'st the skies",Renaissance,Nature
sir philip sidney,nature made chief work stellas eyes colour black wrapt beams bright would beamy black like painter wise frame daintiest lustre mixd shades light else sober hue devise object best knit strength sight lest veil brave gleams disguise sunlike dazzle delight would miraculous power show whereas black seems beautys contrary even black doth make beauties flow thus minding love beplacd ever gave mourning weedto honour deaths bleed,"Astrophil and Stella 7: When Nature made her chief work, Stella's eyes",Renaissance,Nature
john donne,come live love new pleasures proveof golden sands crystal brooks silken lines silver hooks river whispering runwarmd thy eyes sun enamourd fish stay begging may betray thou wilt swim live bath fish every channel hath amorously thee swim gladder catch thee thou thou seen best loth sun moon thou darknest leave see need light thee let others freeze angling reeds cut legs shells weeds treacherously poor fish beset strangling snare windowy net let coarse bold hands slimy nestthe bedded fish banks wrest curious traitors sleeve silk flies bewitch poor fishes wandring eyes thee thou needst deceit thou thyself art thine bait fish catchd thereby alas wiser far,The Bait,Renaissance,Nature
john donne,storm past storms tyrannous rage stupid calm nothing doth suage fable inverted far morea block afflicts stork storms chafe soon wear us calms heaven laughs see us languish thus steadyas wish thoughts smooth thy mistress glass shines sea isles weseek move ships rooted water storms pitch runs lead fird church becomes one spout beauty trim decays like courts removing like ended plays fighting place seamens rags supply tackling frippery use lanthorns one place layfeathers dust day yesterday earths hollownesses worlds lungs wind upper vault air lost friends sought foes recover meteor like save move hover calenture together drawsdear friends meet dead great fishes jaws hatches altars lieseach one priest sacrifice live miracle multiply walkers hot ovens die despite swim hathno refreshing brimstone bath sea ship turn like parboild wretches coals burn like bajazet encagd shepherds scoff like slack sinewd samson hair languish ships myriadof ants durst th emperors lovd snake invade crawling gallies sea gaols finny chips might brave pinnaces bed rid ships whether rotten state hope gain disuse queasy painof belovd loving thirstof honour fair death pushd first lose end well desperate may live coward die stag dog towards flies paid life prey dies fate grudges us doth subtly laya scourge gainst forget pray sea prays wind wellunder poles may beg cold heat hell little alas man wasnothing us nothing fit chance still disproportion power sense lie thus feel misery,The Calm,Renaissance,Nature
john donne,like pillow bed pregnant bank swelld restthe violets reclining head sat two one anothers best hands firmly cemented fast balm thence spring eye beams twisted thread eyes upon one double string tointergraft hands yet means make us one pictures eyes get propagation twixt two equal armies fate suspends uncertain victory souls advance state gone hung twixt whilst souls negotiate like sepulchral statues lay day postures said nothing day love refind souls language understood good love grown mind within convenient distance stood though knew soul spake meant spake might thence new concoction take part far purer came ecstasy doth unperplex said tell us love see sex see saw move several souls contain mixture things know love mixd souls doth mix makes one single violet transplant strength colour size poor scant redoubles still multiplies love one another interinanimates two souls abler soul thence doth flow defects loneliness controls new soul know composd made th atomies grow souls change invade oh alas long far bodies forbear theyare though theyare intelligences spheres owe thanks thus us us first convey yielded senses force us dross us allay man heavens influence works first imprints air soul soul may flow though body first repair blood labors beget spirits like souls fingers need knit subtle knot makes us man must pure lovers souls descend affections faculties sense may reach apprehend else great prince prison lies toour bodies turn weak men love reveald may look loves mysteries souls grow yet body book lover heard dialogue one let still mark us shall see small change weare bodies gone,The Ecstasy,Renaissance,Nature
john donne,spring summer beauty hath grace seen one autumnal face young beauties force love thats rape doth counsel yet cannot scape twere shame love twere shame affection takes reverences name first years golden age thats true shes gold oft tried ever new torrid inflaming time tolerable tropic clime fair eyes asks heat comes hence fever wishes pestilence call wrinkles graves graves loves graves else yet lies love dead doth sit vowd trench like anachorit till must death come doth dig grave build tomb dwells though sojourn evrywhere progress yet standing house still evening noon night voluptuousness yet delight words unto hearers fit may revels council sit loves timber youth underwood wine june enrages blood comes seasonabliest taste appetite things past xerxes strange lydian love platan tree lovd age none large else young nature bless youth ages glory barrenness love things long sought age thing fifty years compassing transitory things soon decay age must loveliest latest day name winter faces whose skins slack lank unthrifts purse souls sack whose eyes seek light within heres shade whose mouths holes rather worn made whose every tooth several place gone vex souls resurrection name living deaths heads unto ancient antique hate extremes yet rather stay tombs cradles wear day since loves natural lation may still love descend journey hill panting growing beauties shall ebb homeward go,Elegy IX: The Autumnal,Renaissance,Nature
john donne,take picture though bid farewellthine heart soul dwells shall dwell tis like dead twill morewhen shadows twas weather beaten come back handperhaps rude oars torn sun beams tannd face breast haircloth headwith cares rash sudden storms oerspread bodya sack bones broken within powders blue stains scatterd skin rival fools tax thee tohave lovd manso foul coarse oh may seem shall say thou shalt say hurts reach doth worth decay reach judging mind heshould love less love see fair delicate milk loves childish statedid nurse grown strong enoughto feed disusd tastes seems tough,Elegy V: His Picture,Renaissance,Nature
john donne,thou hast made shall thy work decay repair mine end doth haste run death death meets fast pleasures like yesterday dare move dim eyes way despair behind death doth castsuch terror feebled flesh doth wasteby sin towards hell doth weigh thou art towards theeby thy leave look rise old subtle foe tempteth one hour sustain thy grace may wing prevent art thou like adamant draw mine iron heart,"Holy Sonnets: Thou hast made me, and shall thy work decay?",Renaissance,Nature
john donne,since coming holy room thy choir saints evermore shall made thy music come tune instrument door must think whilst physicians love grown cosmographers map lieflat bed may shown south west discovery per fretum febris straits die joy straits see west though currents yield return none shall west hurt west east flat maps one one death doth touch resurrection pacific sea home eastern riches jerusalem anyan magellan gibraltar straits none straits ways whether japhet dwelt cham shem think paradise calvary christs cross adams tree stood one place look lord find adams met first adams sweat surrounds face may last adams blood soul embrace purple wrappd receive lord thorns give crown others souls preachd thy word text sermon mine therefore may raise lord throws,"Hymn to God, My God, in My Sickness",Renaissance,Nature
sir thomas wyatt,galley charged forgetfulness thorough sharp seas winter nights doth passtween rock rock eke mine enmy alas lord steereth cruelness every owre thought readiness though death light case endless wind doth tear sail apaceof forced sighs trusty fearfulness rain tears cloud dark disdain hath done weared cords great hinderance wreathed error eke ignorance stars hid led pain drowned reason comfort remain despairing port,"My Galley, Charged with Forgetfulness",Renaissance,Nature
sir thomas wyatt,mothers maids sew spin sang sometime song field mouse livelood thin would needs go seek townish sisters house thought endured much pain stormy blasts cave sore sousethat furrows swimmed rain must lie cold wet sorry plight worse bare meat remainto comfort house dight sometime barley corn sometime bean laboured hard day nightin harvest time whilst might go glean store stroyed flood well away undone clean fain take instead foodsleep might hunger beguile sister quod hath living good hence dwelleth mile cold storm lieth warm dryin bed dirt doth defileher tender foot laboureth richly feedeth richmans cost meat needs crave cry sea land delicates mosther cater seeks spareth peril feedeth boiled bacon meet roast hath thereof neither charge travail list liquor grapedoth glad heart till belly swell journey maketh jape forth goeth trusting wealthwith sister part shape might keep health live lady life doth last door come stealth foot anon scrapeth full fast th fear durst well scarce appear every noise wretch aghast last asked softly language well could peep quod sister peace quod towny mouse speakest thou loud hand took fair well welcome quod sister rood feasted joy tellthe fare drank wine clear purpose fell cheered sister cheer amids joy befell sorry chance well away stranger bought full dearthe fare look askance stool spied two steaming eyesin round head sharp ears francewas never mouse feard unwisehad seen beast yet nature taught guiseto know foe dread evermore towny mouse fled know whither go th shift wonders sorefeard life home wished tho door alas skip heaven would lo eke chance threshold silly foot trip ere might recover traitor cat caught hip made remain forgotten poor surety restfor seeming wealth wherein thought reign alas poynz men seek bestand find worst error stray marvail sight opprest blind guide anon waygoeth guide seeking quiet life wretched minds gold maygrant ye seek war peace strife although thy head hooped gold sergeant mace hawbert sword knife cannot repulse care follow kind life hath disease live delight even thy lust would thou shalt find lust doth thee please irketh straight doth fade small thing may thy mind appease none ye madto seek grapes upon brambles breres none trow hath wit badto set hay conies rivers ne ye set drag net hare yet thing desireye mis seek travail care make plain thine heart knottedwith hope dread see thy barefrom affects vice hath ever spotted thyself content thee assigned use well thee allotted seek thyself findthe thing thou hast sought long thou shalt feel sitting thy mind mad ye list continue sore let present pass gape time come deep travail henceforth poynz shall wretched fools shall nought else great god high doom none pain pray rage doth lead right looking backward virtue may see even goodly fair bright whilst clasp lusts arms across grant good lord thou mayst thy mightto fret inward losing loss,Of the Mean and Sure Estate,Renaissance,Nature
john donne,forget rotten world unto theelet thine times old story concernd study much believe man though err worst try truths forthis far business world worth ihe world carcass thou art fedby worm carcass bred shouldst thou poor worm consider world grow better thy fellow worms think uponthat carcasss last resurrection forget world scarce think old clothes cast year ago thus stupid alacrity men thus lethargic best memory look upward thats towards whose happy statewe lament congratulate world stage sat hearkning youthful ageshould employd didsome figure golden times hid could lack whater world could give form made live could complain world unfitto stayd first tried indifferent desiresby virtue virtue religious fires whose person paradise adherd courts princes whose eyes enspherdstar light enough made south control star full northern pole gone gone thou knowest fragmentary rubbish world isthou knowest worth thought honours much thinks nought think soul death groom brings taper outward room whence thou spiest first little glimmering light brings nearer thy sight approaches doth heaven make death think thyself labouring broken breath think broken soft notes bedivision thy happiest harmony think thee laid thy death bed loose slack think unbinding pack take one precious thing thy soul thence think thyself parchd fevers violence anger thine ague calling itthy physic chide slackness fit think thou hearst thy knell think bells calld thee church triumphant church calls thee think satans sergeants round thee think legacies thrust give one thy pride toanother give thy lust give sins gave thee trust th immaculate blood wash thy score think thy friends weeping round think theyweep go yet thy way think close thine eyes think confess much world amiss dare trust dead mans eye thatwhich god angels cover think shroud thee think thencethey reinvest thee white innocence think thy body rots low thy soul exalted thy thoughts go think thee prince createworms insensibly devour state think bury thee think ritelays thee sleep saint lucys night,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature
christopher marlowe,come live love pleasures prove valleys groves hills fields woods steepy mountain yields sit upon rocks seeing shepherds feed flocks shallow rivers whose fallsmelodious birds sing madrigals make thee beds rosesand thousand fragrant posies cap flowers kirtleembroidered leaves myrtle gown made finest woolwhich pretty lambs pull fair lined slippers cold buckles purest gold belt straw ivy buds coral clasps amber studs pleasures may thee move come live love shepherds swains shall dance singfor thy delight may morning delights thy mind may move live love,The Passionate Shepherd to His Love,Renaissance,Nature
william shakespeare,full fathom five thy father lies bones coral made pearls eyes nothing doth fade doth suffer sea changeinto something rich strange sea nymphs hourly ring knell ding dong hark hear ding dong bell,Song: Full fathom five thy father lies ,Renaissance,Nature
william shakespeare,hark hark lark heavens gate sings phoebus gins arise steeds water springs chaliced flowers lies winking mary buds begin ope golden eyes every thing pretty lady sweet arise arise arise,"Song: Hark, hark! the lark at heaven's gate sings",Renaissance,Nature
william shakespeare,notes macbeth iv,"Song of the Witches: Double, double toil and trouble",Renaissance,Nature
william shakespeare,greenwood treewho loves lie turn merry noteunto sweet birds throat come hither come hither come hither shall seeno enemybut winter rough weather doth ambition shunand loves live sun seeking food eats pleased gets come hither come hither come hither shall seeno enemybut winter rough weather,Song: Under the greenwood tree,Renaissance,Nature
william shakespeare,full many glorious morning seenflatter mountain tops sovereign eye kissing golden face meadows green gilding pale streams heavenly alchemy anon permit basest clouds ridewith ugly rack celestial faceand forlorn world visage hide stealing unseen west disgrace even sun one early morn shinewith triumphant splendour brow alack one hour mine region cloud hath maskd yet love whit disdaineth suns world may stain heavens sun staineth,Sonnet 33: Full many a glorious morning have I seen,Renaissance,Nature
william shakespeare,time year thou mayst beholdwhen yellow leaves none hangupon boughs shake cold bare ruind choirs late sweet birds sang thou seest twilight dayas sunset fadeth west black night doth take away deaths second self seals rest thou seest glowing firethat ashes youth doth lie death bed whereon must expire consumd nourishd thou perceivst makes thy love strong love well thou must leave ere long,Sonnet 73: That time of year thou mayst in me behold,Renaissance,Nature
william shakespeare,like winter hath absence beenfrom thee pleasure fleeting year freezings felt dark days seen old decembers bareness everywhere yet time removd summers time teeming autumn big rich increase bearing wanton burthen prime like widowd wombs lords decease yet abundant issue seemd mebut hope orphans unfatherd fruit summer pleasures wait thee thou away birds mute sing tis dull cheerthat leaves look pale dreading winters near,Sonnet 97: How like a winter hath my absence been,Renaissance,Nature
william shakespeare,poor soul centre sinful earth rebel powers thee array dost thou pine within suffer dearth painting thy outward walls costly gay large cost short lease dost thou upon thy fading mansion spend shall worms inheritors excess eat thy charge thy bodys end soul live thou upon thy servants lossand let pine aggravate thy store buy terms divine selling hours dross within fed without rich shalt thou feed death feeds men death dead theres dying,"Sonnet 146: Poor soul, the centre of my sinful earth,",Renaissance,Nature
william shakespeare,weret aught bore canopy extern outward honouring laid great bases eternity proves short waste ruining seen dwellers form favourlose paying much rent compound sweet forgoing simple savour pitiful thrivers gazing spent let obsequious thy heart take thou oblation poor free mixd seconds knows art mutual render thee hence thou subornd informer true soul impeachd stands least thy control,Sonnet 125: Weret aught to me I bore the canopy,Renaissance,Love
george gascoigne,sing lullaby women wherewith bring babes rest lullaby sing tooas womanly best lullaby still child much beguiled full many wanton babes iwhich must stilled lullaby first lullaby youthful years time go bed crooked age hoary hairshave within head lullaby youth still lullaby content thy since courage quails comes behind go sleep beguile thy mind next lullaby gazing eyes wonted glance apace every glass may sufficeto show furrows face lullaby wink awhile lullaby looks beguile let fair face beauty brightentice eft vain delight lullaby wanton let reasons rule reign thy thought since late find skillhow dear thy fancies bought lullaby take thine ease lullaby thy doubts appease trust thou still body shall obey thy eke lullaby loving boy little robin take thy rest since age cold nothing coy keep close thy coin best lullaby thou content lullaby thy lusts relent let others pay hath mo pence thou art poor expense thus lullaby youth mine eyes ware mo delays devise welcome pain let pleasure pass lullaby take leave lullaby dreams deceive rise waking eye remember lullaby,The Lullaby of a Lover,Renaissance,Love
william shakespeare,beshrew heart makes heart groanfor deep wound gives friend ist enough torture alone slave slavery sweetst friend must thy cruel eye hath taken next self thou harder hast engrossed thee forsaken torment thrice threefold thus crossed prison heart thy steel bosoms ward friends heart let poor heart bail whoeer keeps let heart guard thou canst use rigour jail yet thou wilt pent thee perforce thine,Sonnet 133: Beshrew that heart that makes my heart to groan,Renaissance,Love
william shakespeare,call justify wrongthat thy unkindness lays upon heart wound thine eye thy tongue use power power slay art tell thou lovst elsewhere sight dear heart forbear glance thine eye aside needst thou wound cunning thy mightis oerpressed defense bide let excuse thee ah love well knowsher pretty looks mine enemies therefore face turns foes elsewhere might dart injuriesyet since near slain kill outright looks rid pain,"Sonnet 139: O, call not me to justify the wrong",Renaissance,Love
william shakespeare,love sin thy dear virtue hate hate sin grounded sinful loving mine compare thou thine state thou shalt find merits reproving lips thine profaned scarlet ornamentsand sealed false bonds love oft mine robbed others beds revenues rents lawful love thee thou lovst thosewhom thine eyes woo mine importune thee root pity thy heart grows thy pity may deserve pitied thou dost seek thou dost hide self example mayst thou denied,"Sonnet 142: Love is my sin, and thy dear virtue hate",Renaissance,Love
william shakespeare,love fever longing stillfor longer nurseth disease feeding doth preserve ill th uncertain sickly appetite please reason physician love angry prescriptions kept hath left desperate approvedesire death physic except past cure reason past care frantic mad evermore unrest thoughts discourse madmens random truth vainly expressed sworn thee fair thought thee bright art black hell dark night,"Sonnet 147: My love is as a fever, longing still",Renaissance,Love
duchess of newcastle margaret cavendish,poet neither born bred witty poet married whose brain fresh pleasant spring fancies grow muses sing oft lean head listening hark catch words fancies mark garden show beauties takewhereof posy verse may make thus gardens gather flowers newly blown,The Duchess to Her Readers,Renaissance,Love
sir philip sidney,loving truth fain verse love show dear might take pleasure pain pleasure might cause read reading might make know knowledge might pity win pity grace obtain sought fit words paint blackest face woe studying inventions fine wits entertain oft turning others leaves see thence would flowsome fresh fruitful showers upon sunburned brain words came halting forth wanting inventions stay invention natures child fled step dame studys blows others feet still seemed strangers way thus great child speak helpless throes biting truant pen beating spite fool said muse look thy heart write,Sonnet 1,Renaissance,Love
thomas bastard,misus mopsa hardly could agree striving superiority text says man wife one chief argument stood upon held one woman become held man one contended daily strife could ended till one wife,"Book 5, Epigram 20: In Misum & Mopsam.",Renaissance,Love
